feature,rho,p_value,abs_rho,target
texture3d_std_contr,0.22965728209469854,3.7236721882629895e-11,0.22965728209469854,FLU_vs_SHG
texture3d_std_dvarh,0.22965728209469854,3.7236721882629895e-11,0.22965728209469854,FLU_vs_SHG
texture3d_std_senth,-0.229087059172055,4.1730226486662074e-11,0.229087059172055,FLU_vs_SHG
texture3d_std_maxpr,-0.20450411539586547,4.267309917416763e-09,0.20450411539586547,FLU_vs_SHG
texture3d_mean_contr,0.2003647193648232,8.814088260189975e-09,0.2003647193648232,FLU_vs_SHG
texture3d_mean_dvarh,0.2003647193648232,8.814088260189975e-09,0.2003647193648232,FLU_vs_SHG
texture3d_mean_cshad,0.19485256444593538,2.2614446861531342e-08,0.19485256444593538,FLU_vs_SHG
texture3d_std_cprom,0.19407114784823862,2.578993556963823e-08,0.19407114784823862,FLU_vs_SHG
Endpoints,-0.18854919344829002,6.427497119987247e-08,0.18854919344829002,FLU_vs_SHG
texture3d_median_cshad,0.18203654437803038,1.823405414368653e-07,0.18203654437803038,FLU_vs_SHG
texture3d_median_contr,0.17135735031838162,9.308837915769993e-07,0.17135735031838162,FLU_vs_SHG
Lacunarity,0.1619328216481565,3.6184075874300755e-06,0.1619328216481565,FLU_vs_SHG
Area (microns^2),-0.1619328216481565,3.6184075874300755e-06,0.1619328216481565,FLU_vs_SHG
Box-Counting Fractal Dimension,-0.15784628193679043,6.368468267145687e-06,0.15784628193679043,FLU_vs_SHG
Total Length (microns),-0.15497401848515094,9.396230069248666e-06,0.15497401848515094,FLU_vs_SHG
texture3d_mean_cprom,0.15245543417901053,1.314033879978492e-05,0.15245543417901053,FLU_vs_SHG
texture3d_std_homom,0.1458873108848568,3.073758011910585e-05,0.1458873108848568,FLU_vs_SHG
mean_HistWID,-0.14567611720980364,3.1570332381397366e-05,0.14567611720980364,FLU_vs_SHG
Branchpoints,-0.13953993994906969,6.75501239571291e-05,0.13953993994906969,FLU_vs_SHG
% High Density Matrix,-0.13470476547772145,0.00012036411807582759,0.13470476547772145,FLU_vs_SHG
texture3d_std_inf2h,-0.11363803670423701,0.0011965533567087822,0.11363803670423701,FLU_vs_SHG
median_HistSTR,0.11362224464235662,0.001198456189560531,0.11362224464235662,FLU_vs_SHG
texture3d_std_dissi,0.10920296952812034,0.0018552000731470145,0.10920296952812034,FLU_vs_SHG
texture_mean_correlationmean.,0.1056021173684637,0.002618801019689966,0.1056021173684637,FLU_vs_SHG
texture_median_correlationmean.,0.10492629760829356,0.002790689121911517,0.10492629760829356,FLU_vs_SHG
texture3d_std_entro,-0.10437719405315529,0.0029378534801248845,0.10437719405315529,FLU_vs_SHG
mean_HistSTR,0.08284071950724678,0.01836867324595342,0.08284071950724678,FLU_vs_SHG
median_HistWID,-0.08201708454143274,0.019565552803115126,0.08201708454143274,FLU_vs_SHG
texture_std_correlationmean.,0.08112477042980076,0.020938435219862377,0.08112477042980076,FLU_vs_SHG
texture_std_homogeneitymean.,0.07843205107287278,0.025601250613360594,0.07843205107287278,FLU_vs_SHG
Alignment,0.06352181885118544,0.07077852479657225,0.06352181885118544,FLU_vs_SHG
Curvature_40.0,-0.05021787756767294,0.15331497587058437,0.05021787756767294,FLU_vs_SHG
texture_mean_homogeneitymean.,-0.04478889863690203,0.20288148971906236,0.04478889863690203,FLU_vs_SHG
std_HistSTR,-0.041863866237415566,0.2339881052460852,0.041863866237415566,FLU_vs_SHG
texture_median_homogeneitymean.,-0.03715424728372977,0.29089507772938805,0.03715424728372977,FLU_vs_SHG
texture3d_std_corrm,0.031209145330982898,0.3750400088232396,0.031209145330982898,FLU_vs_SHG
n_HistANG,-0.03046728622151467,0.38650326078797664,0.03046728622151467,FLU_vs_SHG
std_HistLEN,-0.02675295878736091,0.44703774670653057,0.02675295878736091,FLU_vs_SHG
median_HistLEN,0.017428759509553422,0.6203864032411542,0.017428759509553422,FLU_vs_SHG
